model;difficulty_score;difficulty_score_article;difficulty_score_article_capped_100
model_10000515;22,910456;6,275510;6,275510
model_10000516;32,127577;12,173469;12,173469
model_10000517;25,795090;10,081633;10,081633
model_10000518;33,917637;18,540816;18,540816
model_10000519;22,136163;11,428571;11,428571
model_10000520;16,152387;4,591837;4,591837
model_10000521;21,202475;4,540816;4,540816
model_10000522;21,202475;4,540816;4,540816
model_10000523;23,990172;9,581633;9,581633
model_10000524;27,873028;11,744898;11,744898
model_10000525;45,096383;12,571429;12,571429
model_10000526;40,679039;10,193878;10,193878
model_10000527;45,096383;12,571429;12,571429
model_10000528;16,152387;4,591837;4,591837
model_10000529;27,475498;7,530612;7,530612
model_10000530;16,152387;4,591837;4,591837
model_10000531;32,127577;12,173469;12,173469
model_10000532;22,379001;8,397959;8,397959
model_10000533;19,217107;20,122449;20,122449
model_10000534;21,202475;4,540816;4,540816
model_10000535;56,012140;41,693878;41,693878
model_10000536;27,873028;11,744898;11,744898
model_10000537;19,230097;19,153061;19,153061
model_10000538;28,361118;19,051020;19,051020
model_10000539;39,358800;23,326531;23,326531
model_10000540;15,687275;2,377551;2,377551
model_10000541;16,152387;4,591837;4,591837
model_10000542;45,096383;12,571429;12,571429
model_10000543;34,875232;10,122449;10,122449
model_10000544;24,061093;9,489796;9,489796
model_10000545;28,361118;19,051020;19,051020
model_10000546;18,578480;3,214286;3,214286
model_10000547;45,096383;12,571429;12,571429
model_10000548;40,754565;14,132653;14,132653
model_10000549;15,687275;2,377551;2,377551
model_10000550;45,096383;12,571429;12,571429
model_10000551;15,687275;2,377551;2,377551
model_10000552;33,841778;44,989796;44,989796
model_10000553;37,461534;12,826531;12,826531
model_10000554;41,665305;15,561224;15,561224
model_10000555;45,096383;12,571429;12,571429
model_10000556;15,687275;2,377551;2,377551
model_10000557;31,314807;18,428571;18,428571
model_10000558;16,152387;4,591837;4,591837
model_10000559;26,774522;7,877551;7,877551
model_10000560;31,076585;14,897959;14,897959
model_10000561;20,688587;10,867347;10,867347
model_10000562;21,202475;4,540816;4,540816
model_10000563;22,136163;11,428571;11,428571
model_10000564;31,718659;19,724490;19,724490
model_10000565;22,136163;11,428571;11,428571
model_10000566;45,096383;12,571429;12,571429
model_10000567;49,056443;21,346939;21,346939
model_10000568;15,687275;2,377551;2,377551
model_10000569;22,136163;11,428571;11,428571
model_10000570;21,202475;4,540816;4,540816
model_10000571;22,136163;11,428571;11,428571
model_10000572;33,922549;6,081633;6,081633
model_10000573;38,140398;22,510204;22,510204
model_10000574;47,555515;15,000000;15,000000
model_10000575;32,108707;16,530612;16,530612
model_10000576;16,152387;4,591837;4,591837
model_10000577;49,056443;21,346939;21,346939
model_10000578;45,096383;12,571429;12,571429
model_10000579;32,598454;19,663265;19,663265
model_10000580;15,687275;2,377551;2,377551
model_10000581;27,873028;11,744898;11,744898
model_10000582;19,030536;9,897959;9,897959
model_10000583;16,152387;4,591837;4,591837
model_10000584;22,136163;11,428571;11,428571
model_10000585;30,650890;8,816327;8,816327
model_10000586;21,202475;4,540816;4,540816
model_10000587;22,529513;5,408163;5,408163
model_10000588;15,378297;5,683673;5,683673
model_10000589;34,875232;10,122449;10,122449
model_10000590;27,873028;11,744898;11,744898
model_10000591;28,361118;19,051020;19,051020
model_10000592;39,358800;23,326531;23,326531
model_10000593;27,680670;4,591837;4,591837
model_10000594;27,873028;11,744898;11,744898
model_10000595;15,687275;2,377551;2,377551
model_10000596;37,999743;17,948980;17,948980
model_10000597;15,687275;2,377551;2,377551
model_10000598;16,152387;4,591837;4,591837
model_10000599;39,146601;19,836735;19,836735
model_100006;44,712051;94,275510;94,275510
model_10000600;19,030536;9,897959;9,897959
model_10000601;36,437731;16,479592;16,479592
model_10000602;41,665305;15,561224;15,561224
model_10000603;55,575168;29,928571;29,928571
model_10000604;40,467396;9,959184;9,959184
model_10000605;15,687275;2,377551;2,377551
model_10000606;45,096383;12,571429;12,571429
model_10000607;13,878397;3,551020;3,551020
model_10000608;49,297812;52,908163;52,908163
model_10000609;22,136163;11,428571;11,428571
model_10000610;34,409334;12,591837;12,591837
model_10000611;35,039809;10,479592;10,479592
model_10000612;28,361118;19,051020;19,051020
model_10000613;27,873028;11,744898;11,744898
model_10000614;23,560529;10,153061;10,153061
model_10000615;31,433249;42,346939;42,346939
model_10000616;18,976106;18,387755;18,387755
model_10000617;34,875232;10,122449;10,122449
model_10000618;32,127577;12,173469;12,173469
model_10000619;22,136163;11,428571;11,428571
model_10000620;27,873028;11,744898;11,744898
model_10000621;45,096383;12,571429;12,571429
model_10000622;27,873028;11,744898;11,744898
model_10000623;21,202475;4,540816;4,540816
model_10000624;45,096383;12,571429;12,571429
model_10000625;22,910456;6,275510;6,275510
model_10000626;31,076585;14,897959;14,897959
model_10000627;27,475498;7,530612;7,530612
model_10000628;34,721179;9,989796;9,989796
model_10000629;45,096383;12,571429;12,571429
model_10000630;15,687275;2,377551;2,377551
model_10000631;20,500371;6,602041;6,602041
model_10000632;28,361118;19,051020;19,051020
model_10000633;32,250564;16,887755;16,887755
model_10000634;22,910456;6,275510;6,275510
model_10000635;15,687275;2,377551;2,377551
model_10000636;40,679039;10,193878;10,193878
model_10000637;37,999743;17,948980;17,948980
model_10000638;27,873028;11,744898;11,744898
model_10000639;40,679039;10,193878;10,193878
model_10000640;26,716179;21,193878;21,193878
model_10000641;43,192315;11,989796;11,989796
model_10000642;16,743895;5,306122;5,306122
model_10000643;43,934838;28,224490;28,224490
model_10000644;35,544751;10,316327;10,316327
model_10000645;43,913635;18,163265;18,163265
